stop;article;pieces
0;0.0;6.0
0;1.0;3.0
0;2.0;11.0
0;3.0;5.0
0;4.0;4.0
0;5.0;7.0
0;6.0;5.0
0;7.0;5.0
0;8.0;4.0
0;9.0;6.0
0;10.0;8.0
0;11.0;3.0
0;12.0;6.0
0;13.0;6.0
0;14.0;6.0
0;15.0;5.0
0;16.0;6.0
0;17.0;6.0
0;18.0;6.0
0;19.0;4.0
0;20.0;6.0
350;;
70;;
209;;
876;;
801;;
864;;
656;;
762;;
551;;
523;;
809;;
836;;
450;;
746;;
131;;
701;;
780;;
403;;
587;;
820;;
570;;
645;;
979;;
560;;
990;;
646;;
596;;
207;;
782;;
982;;
769;;
539;;
20;;
135;;
106;;
534;;
247;;
716;;
328;;
235;;
698;;
748;;
925;;
813;;
272;;
394;;
634;;
453;;
844;;
872;;
483;;
795;;
132;;
917;;
408;;
735;;
945;;
121;;
288;;
391;;
871;;
72;;
874;;
227;;
1000;;
214;;
96;;
745;;
107;;
538;;
885;;
273;;
337;;
889;;
147;;
519;;
838;;
997;;
260;;
138;;
31;;
424;;
766;;
834;;
536;;
724;;
166;;
739;;
289;;
785;;
169;;
156;;
363;;
726;;
522;;
477;;
969;;
205;;
196;;
144;;
962;;
264;;
313;;
542;;
407;;
822;;
234;;
326;;
878;;
942;;
114;;
886;;
773;;
811;;
366;;
683;;
172;;
823;;
0;0.0;4.0
0;1.0;3.0
0;2.0;3.0
0;4.0;4.0
0;5.0;10.0
0;6.0;9.0
0;7.0;5.0
0;8.0;4.0
0;9.0;6.0
0;10.0;4.0
0;11.0;3.0
0;12.0;6.0
0;13.0;7.0
0;14.0;6.0
0;15.0;2.0
0;16.0;3.0
0;17.0;9.0
0;18.0;9.0
0;19.0;6.0
0;20.0;6.0
530;;
242;;
181;;
239;;
504;;
968;;
329;;
972;;
140;;
67;;
608;;
197;;
576;;
87;;
318;;
733;;
482;;
99;;
333;;
583;;
225;;
63;;
182;;
476;;
723;;
873;;
755;;
280;;
402;;
719;;
405;;
952;;
697;;
254;;
194;;
791;;
357;;
299;;
429;;
959;;
82;;
440;;
970;;
446;;
993;;
321;;
965;;
572;;
849;;
960;;
816;;
324;;
360;;
347;;
505;;
582;;
145;;
462;;
327;;
685;;
544;;
287;;
868;;
435;;
59;;
510;;
427;;
493;;
15;;
191;;
709;;
472;;
459;;
657;;
667;;
41;;
117;;
638;;
513;;
9;;
941;;
111;;
654;;
412;;
835;;
335;;
420;;
977;;
187;;
861;;
659;;
494;;
996;;
787;;
298;;
620;;
411;;
417;;
756;;
162;;
606;;
866;;
348;;
109;;
163;;
937;;
806;;
714;;
334;;
0;0.0;8.0
0;1.0;10.0
0;2.0;12.0
0;3.0;1.0
0;4.0;5.0
0;5.0;6.0
0;6.0;2.0
0;7.0;7.0
0;8.0;8.0
0;9.0;8.0
0;10.0;6.0
0;11.0;5.0
0;12.0;5.0
0;13.0;3.0
0;14.0;13.0
0;15.0;3.0
0;16.0;5.0
0;17.0;6.0
0;18.0;3.0
0;19.0;7.0
0;20.0;4.0
883;;
120;;
218;;
56;;
777;;
251;;
890;;
819;;
155;;
89;;
673;;
90;;
839;;
36;;
854;;
213;;
829;;
677;;
919;;
116;;
841;;
13;;
779;;
770;;
936;;
603;;
88;;
250;;
389;;
25;;
244;;
664;;
682;;
221;;
153;;
731;;
216;;
11;;
950;;
934;;
783;;
86;;
851;;
57;;
743;;
136;;
602;;
550;;
125;;
206;;
661;;
118;;
211;;
457;;
847;;
796;;
652;;
415;;
373;;
595;;
465;;
585;;
815;;
380;;
381;;
771;;
249;;
887;;
859;;
126;;
164;;
571;;
500;;
115;;
691;;
123;;
696;;
270;;
77;;
991;;
955;;
105;;
869;;
778;;
369;;
286;;
267;;
342;;
496;;
66;;
102;;
12;;
229;;
584;;
283;;
588;;
527;;
341;;
708;;
706;;
840;;
906;;
401;;
750;;
666;;
54;;
332;;
64;;
753;;
516;;
800;;
973;;
418;;
184;;
139;;
648;;
433;;
45;;
577;;
655;;
84;;
932;;
700;;
908;;
852;;
44;;
529;;
0;0.0;9.0
0;1.0;9.0
0;2.0;2.0
0;3.0;11.0
0;4.0;2.0
0;5.0;7.0
0;6.0;11.0
0;7.0;4.0
0;8.0;3.0
0;9.0;6.0
0;10.0;5.0
0;11.0;1.0
0;12.0;7.0
0;13.0;6.0
0;14.0;5.0
0;15.0;7.0
0;16.0;6.0
0;17.0;6.0
